permalink	company	numEmps	category	city	state	fundedDate	raisedAmt	raisedCurrency	round
lifelock	LifeLock		web	Tempe	AZ	1-May-07	6850000	USD	b
lifelock	LifeLock		web	Tempe	AZ	1-Oct-06	6000000	USD	a
lifelock	LifeLock		web	Tempe	AZ	1-Jan-08	25000000	USD	c
mycityfaces	MyCityFaces	7	web	Scottsdale	AZ	1-Jan-08	50000	USD	seed
flypaper	Flypaper		web	Phoenix	AZ	1-Feb-08	3000000	USD	a
infusionsoft	Infusionsoft	105	software	Gilbert	AZ	1-Oct-07	9000000	USD	a
gauto	gAuto	4	web	Scottsdale	AZ	1-Jan-08	250000	USD	seed
chosenlist-com	ChosenList.com	5	web	Scottsdale	AZ	1-Oct-06	140000	USD	seed
chosenlist-com	ChosenList.com	5	web	Scottsdale	AZ	25-Jan-08	233750	USD	angel
digg	Digg	60	web	San Francisco	CA	1-Dec-06	8500000	USD	b
digg	Digg	60	web	San Francisco	CA	1-Oct-05	2800000	USD	a
facebook	Facebook	450	web	Palo Alto	CA	1-Sep-04	500000	USD	angel
facebook	Facebook	450	web	Palo Alto	CA	1-May-05	12700000	USD	a
facebook	Facebook	450	web	Palo Alto	CA	1-Apr-06	27500000	USD	b
facebook	Facebook	450	web	Palo Alto	CA	1-Oct-07	300000000	USD	c
facebook	Facebook	450	web	Palo Alto	CA	1-Mar-08	40000000	USD	c
facebook	Facebook	450	web	Palo Alto	CA	15-Jan-08	15000000	USD	c
facebook	Facebook	450	web	Palo Alto	CA	1-May-08	100000000	USD	debt_round
photobucket	Photobucket	60	web	Palo Alto	CA	1-May-06	10500000	USD	b
photobucket	Photobucket	60	web	Palo Alto	CA	1-Mar-05	3000000	USD	a
omnidrive	Omnidrive		web	Palo Alto	CA	1-Dec-06	800000	USD	angel
geni	Geni	18	web	West Hollywood	CA	1-Jan-07	1500000	USD	a
geni	Geni	18	web	West Hollywood	CA	1-Mar-07	10000000	USD	b
twitter	Twitter	17	web	San Francisco	CA	1-Jul-07	5400000	USD	b
twitter	Twitter	17	web	San Francisco	CA	1-May-08	15000000	USD	c
stumbleupon	StumbleUpon		web	San Francisco	CA	1-Dec-05	1500000	USD	seed
gizmoz	Gizmoz		web	Menlo Park	CA	1-May-07	6300000	USD	a
gizmoz	Gizmoz		web	Menlo Park	CA	16-Mar-08	6500000	USD	b
scribd	Scribd	14	web	San Francisco	CA	1-Jun-06	12000	USD	seed
scribd	Scribd	14	web	San Francisco	CA	1-Jan-07	40000	USD	angel
scribd	Scribd	14	web	San Francisco	CA	1-Jun-07	3710000	USD	a
slacker	Slacker		web	San Diego	CA	1-Jun-07	40000000	USD	b
slacker	Slacker		web	San Diego	CA	1-Jun-07	13500000	USD	a
lala	Lala		web	Palo Alto	CA	1-May-07	9000000	USD	a
plaxo	Plaxo	50	web	Mountain View	CA	1-Nov-02	3800000	USD	a
plaxo	Plaxo	50	web	Mountain View	CA	1-Jul-03	8500000	USD	b
plaxo	Plaxo	50	web	Mountain View	CA	1-Apr-04	7000000	USD	c
plaxo	Plaxo	50	web	Mountain View	CA	1-Feb-07	9000000	USD	d
powerset	Powerset	60	web	San Francisco	CA	1-Jun-07	12500000	USD	a
technorati	Technorati	25	web	San Francisco	CA	1-Jun-06	10520000	USD	c
technorati	Technorati	25	web	San Francisco	CA	1-Sep-04	6500000	USD	b
technorati	Technorati	25	web	San Francisco	CA	13-Jun-08	7500000	USD	d
technorati	Technorati	25	web	San Francisco	CA	10-May-07	1000000	USD	c
mahalo	Mahalo	40	web	Santa Monica	CA	1-Jan-06	5000000	USD	a
mahalo	Mahalo	40	web	Santa Monica	CA	1-Jan-07	16000000	USD	b
kyte	Kyte	40	web	San Francisco	CA	1-Jul-07	2250000	USD	a
kyte	Kyte	40	web	San Francisco	CA	1-Dec-07	15000000	USD	b
kyte	Kyte	40	web	San Francisco	CA	10-Mar-08	6100000	USD	b
veoh	Veoh		web	San Diego	CA	1-Apr-06	12500000	USD	b
veoh	Veoh		web	San Diego	CA	1-Aug-07	25000000	USD	c
veoh	Veoh		web	San Diego	CA	1-Jul-05	2250000	USD	a
veoh	Veoh		web	San Diego	CA	3-Jun-08	30000000	USD	d
jingle-networks	Jingle Networks		web	Menlo Park	CA	1-Oct-06	30000000	USD	c
jingle-networks	Jingle Networks		web	Menlo Park	CA	1-Dec-05	5000000	USD	a
jingle-networks	Jingle Networks		web	Menlo Park	CA	1-Apr-06	26000000	USD	b
jingle-networks	Jingle Networks		web	Menlo Park	CA	1-Oct-05	400000	USD	angel
jingle-networks	Jingle Networks		web	Menlo Park	CA	1-Jan-08	13000000	USD	c
ning	Ning	41	web	Palo Alto	CA	1-Jul-07	44000000	USD	c
ning	Ning	41	web	Palo Alto	CA	1-Apr-08	60000000	USD	d
jotspot	JotSpot		web	Palo Alto	CA	1-Aug-04	5200000	USD	a
mercora	Mercora		web	Sunnyvale	CA	1-Jan-05	5000000	USD	a
wesabe	Wesabe		web	San Francisco	CA	1-Feb-07	700000	USD	seed
wesabe	Wesabe		web	San Francisco	CA	1-Jun-07	4000000	USD	a
jangl	Jangl	22	web	Pleasanton	CA	1-Jul-06	7000000	USD	b
hyphen8	Hyphen 8	4	web	San Francisco	CA	1-Oct-07	100000	USD	angel
prosper	Prosper		web	San Francisco	CA	1-Jun-07	20000000	USD	c
prosper	Prosper		web	San Francisco	CA	1-Apr-05	7500000	USD	a
prosper	Prosper		web	San Francisco	CA	1-Feb-06	12500000	USD	b
